NCT Number,Study Results,Sex,Age,Study Type
NCT00265473,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01869764,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02250664,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02743364,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00529464,YES,FEMALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02129062,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00119262,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00117962,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01248962,YES,FEMALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00273910,YES,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00468910,YES,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00258310,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00072410,YES,FEMALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00831272,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00803062,YES,FEMALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01779362,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00796562,YES,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00478062,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02892110,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT03239210,YES,ALL,ADULT,INTERVENTIONAL
NCT02038010,YES,FEMALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00455962,YES,FEMALE,ADULT,INTERVENTIONAL
NCT00722072,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00963872,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00293462,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00777062,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT03785210,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00978562,YES,ALL,"CHILD, ADULT",INTERVENTIONAL
NCT00357162,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00303862,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01307462,YES,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01070810,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01005810,YES,ALL,"CHILD, ADULT",INTERVENTIONAL
NCT00240110,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01486810,YES,ALL,ADULT,INTERVENTIONAL
NCT00605072,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02254772,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01646762,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00634010,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00045110,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00793572,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01023672,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00052962,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00419562,YES,ALL,"CHILD, ADULT",INTERVENTIONAL
NCT00415610,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01296672,YES,MALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01376362,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00056862,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00006389,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01178138,YES,ALL,ADULT,INTERVENTIONAL
NCT00824538,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02029638,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02926638,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01972438,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00238238,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02538510,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT03023046,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02362646,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00992446,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01031810,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02777372,YES,FEMALE,ADULT,INTERVENTIONAL
NCT00001262,YES,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00176462,YES,ALL,"CHILD, ADULT",INTERVENTIONAL
NCT01339910,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00290810,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00923910,YES,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00129272,YES,ALL,"CHILD, ADULT",INTERVENTIONAL
NCT01827462,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01200810,YES,MALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01001910,YES,FEMALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01330446,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02158273,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT03451773,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00400946,YES,ALL,"CHILD, ADULT",INTERVENTIONAL
NCT01268046,YES,FEMALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01114373,YES,ALL,ADULT,INTERVENTIONAL
NCT00040846,YES,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02631746,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01700673,YES,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01246973,YES,FEMALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01516346,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01097746,YES,FEMALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00659373,YES,FEMALE,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00436046,YES,ALL,ADULT,INTERVENTIONAL
NCT04498273,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00061373,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01730846,YES,ALL,ADULT,INTERVENTIONAL
NCT00309946,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01146873,YES,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01938573,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00301873,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00023673,YES,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00113373,YES,FEMALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00121173,YES,FEMALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00091273,YES,FEMALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01219673,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01720173,YES,FEMALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00049673,YES,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02006264,YES,FEMALE,ADULT,INTERVENTIONAL
NCT01884064,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01123161,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02561273,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00390364,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00398073,YES,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00305864,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT03232346,YES,ALL,ADULT,INTERVENTIONAL
NCT00670046,YES,MALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01706146,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01535573,YES,ALL,ADULT,INTERVENTIONAL
NCT00485264,YES,ALL,"CHILD, ADULT",INTERVENTIONAL
NCT00821964,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00467961,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT03333746,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00331773,YES,MALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02713373,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02537873,YES,ALL,ADULT,INTERVENTIONAL
NCT00369564,YES,ALL,"CHILD, ADULT",INTERVENTIONAL
NCT00084864,YES,MALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01999946,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01132846,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02053246,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01720264,YES,ALL,ADULT,INTERVENTIONAL
NCT01440764,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00238264,YES,ALL,"CHILD, ADULT",INTERVENTIONAL
NCT00023764,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT05894564,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00077064,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02748564,YES,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00106964,YES,ALL,"CHILD, ADULT",INTERVENTIONAL
NCT01369888,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT03186638,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT04870138,YES,MALE,ADULT,INTERVENTIONAL
NCT03338972,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01989572,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT04459338,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01263938,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01646138,YES,ALL,ADULT,INTERVENTIONAL
NCT00704938,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01101438,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00149838,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00114738,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01166438,YES,FEMALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT04146038,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00316888,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02081638,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT05894538,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02292238,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00397488,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00580788,YES,ALL,ADULT,INTERVENTIONAL
NCT01071538,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02097238,YES,ALL,"CHILD, ADULT",INTERVENTIONAL
NCT02552888,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00248638,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01669538,YES,ALL,ADULT,INTERVENTIONAL
NCT00087438,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT04034238,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00848172,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02094872,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01576172,YES,MALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00377572,YES,ALL,"CHILD, ADULT",INTERVENTIONAL
NCT01044862,YES,FEMALE,ADULT,INTERVENTIONAL
NCT00545662,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00666562,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00101010,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT04465162,YES,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00108862,YES,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00830362,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT03284710,YES,ALL,ADULT,INTERVENTIONAL
NCT00326872,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00820872,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01814072,YES,ALL,ADULT,INTERVENTIONAL
NCT01604772,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00323362,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00890162,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00004562,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00358462,YES,MALE,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00459810,YES,MALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02643862,YES,ALL,"CHILD, ADULT",INTERVENTIONAL
NCT01142310,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01136772,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01399372,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00589472,YES,MALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01518972,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01502410,YES,ALL,"CHILD, ADULT",INTERVENTIONAL
NCT03012672,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01629862,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00158262,YES,ALL,ADULT,INTERVENTIONAL
NCT00025662,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00181155,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00493025,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00455325,YES,ALL,ADULT,INTERVENTIONAL
NCT00183625,YES,ALL,ADULT,INTERVENTIONAL
NCT01165112,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT03273712,YES,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01789255,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01748825,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00244855,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT03104855,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00482625,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02658812,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00719355,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00941655,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT03593655,YES,FEMALE,"CHILD, ADULT",INTERVENTIONAL
NCT01141725,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02478255,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01971255,YES,ALL,ADULT,INTERVENTIONAL
NCT00409825,YES,FEMALE,ADULT,INTERVENTIONAL
NCT01209325,YES,MALE,"CHILD, ADULT",INTERVENTIONAL
NCT01496612,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00573755,YES,FEMALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT03510455,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01002755,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT03328325,YES,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01338025,YES,ALL,"CHILD, ADULT",INTERVENTIONAL
NCT00723255,YES,FEMALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00905125,YES,FEMALE,ADULT,INTERVENTIONAL
NCT01239355,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01153425,YES,FEMALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT03769025,YES,ALL,ADULT,INTERVENTIONAL
NCT00052442,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00674765,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT03190265,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00066365,YES,ALL,"CHILD, ADULT",INTERVENTIONAL
NCT01147042,YES,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT03710642,YES,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01852942,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00729365,YES,ALL,"CHILD, ADULT",INTERVENTIONAL
NCT02059265,YES,FEMALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01434342,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT04296942,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00950365,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00783965,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01281865,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00459342,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00343642,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT03587142,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00863265,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00454142,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00486642,YES,MALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01193842,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01381692,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02125721,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT03165721,YES,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00942331,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01452412,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00248612,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00126555,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT03143855,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01920555,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01105312,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00555425,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01062425,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01748955,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01869725,YES,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01351025,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02259725,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00121225,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT03090412,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01696955,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00308555,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00659425,YES,ALL,"CHILD, ADULT",INTERVENTIONAL
NCT00626925,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01533948,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02155985,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT03580525,YES,ALL,ADULT,INTERVENTIONAL
NCT02460692,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00522392,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00979992,YES,FEMALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01462630,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT03761030,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02867592,YES,ALL,"CHILD, ADULT",INTERVENTIONAL
NCT03218592,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00006392,YES,MALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00923130,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00369655,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00390455,YES,FEMALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01258855,YES,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00082355,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00041080,YES,FEMALE,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT03839940,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00134901,YES,ALL,ADULT,INTERVENTIONAL
NCT01134601,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02913924,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00592124,YES,FEMALE,ADULT,INTERVENTIONAL
NCT00005780,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT03534180,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00195624,YES,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00503880,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT03220724,YES,ALL,ADULT,INTERVENTIONAL
NCT00138424,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00839436,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01524536,YES,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00438880,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02624180,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT03047980,YES,ALL,"CHILD, ADULT",INTERVENTIONAL
NCT02365480,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00866840,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT05780424,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02578901,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00585780,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01785524,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00770224,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01077024,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00571701,YES,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00122980,YES,ALL,"CHILD, ADULT",INTERVENTIONAL
NCT00233480,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01946880,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00594880,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00359424,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00831844,YES,ALL,"CHILD, ADULT",INTERVENTIONAL
NCT01295944,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01372774,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT03382574,YES,FEMALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT05736874,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00922974,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00528398,YES,ALL,"CHILD, ADULT",INTERVENTIONAL
NCT01273181,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT04546581,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00503776,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00386776,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00077376,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01841281,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00244881,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02521181,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00928174,YES,MALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00071981,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT03510481,YES,ALL,ADULT,INTERVENTIONAL
NCT02066181,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00620776,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00459381,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00274781,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00854581,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00072176,YES,FEMALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00499681,YES,FEMALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01533181,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01552681,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01511081,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02530476,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02774681,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02133781,YES,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00833781,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01515176,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00706381,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT03589976,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01153581,YES,FEMALE,ADULT,INTERVENTIONAL
NCT01385995,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01462695,YES,ALL,"CHILD, ADULT",INTERVENTIONAL
NCT03810495,YES,ALL,ADULT,INTERVENTIONAL
